season,team,name,age,g,gs,mp,fgperc,reb,ast,stl,blk,tov,ptsg,ws,sal
1996,PHI,Allen Iverson,21,76,74,40.099998,0.41600001,4.0999999,7.5,2.0999999,0.30000001,4.4000001,23.5,4.0999999,2.267
2014,POR,LaMarcus Aldridge,29,71,71,35.400002,0.46599999,10.2,1.7,0.69999999,1,1.7,23.4,8.6000004,16.006
1995,DAL,Jamal Mashburn,23,18,18,37.200001,0.37900001,5.4000001,2.8,0.80000001,0.2,3.0999999,23.4,0.2,3.233
2001,DAL,Dirk Nowitzki,23,76,76,38,0.477,9.8999996,2.4000001,1.1,1,1.9,23.4,13.4,2.157595
1998,BKN,Stephon Marbury,21,31,31,39.799999,0.43900001,2.5999999,8.6999998,1,0.1,3.5,23.4,4,2.562
1997,MIL,Glenn Robinson,25,56,56,41,0.47,5.5,2.8,1.2,0.60000002,3.5999999,23.4,3.0999999,5.51
2000,BOS,Antoine Walker,24,81,81,41.900002,0.41299999,8.8999996,5.5,1.7,0.60000002,3.7,23.4,6.5999999,10.13
2002,SAS,Tim Duncan,26,81,81,39.299999,0.51300001,12.9,3.9000001,0.69999999,2.9000001,3.0999999,23.299999,16.5,12.0725
2012,OKC,Russell Westbrook,24,82,82,34.900002,0.43799999,5.1999998,7.4000001,1.8,0.30000001,3.3,23.200001,11.6,13.66875
2000,UTA,Karl Malone,37,81,81,35.700001,0.498,8.3000002,4.5,1.1,0.80000001,3,23.200001,13.1,15.75
2013,POR,LaMarcus Aldridge,28,69,69,36.200001,0.458,11.1,2.5999999,0.89999998,1,1.8,23.200001,7.5,14.128
1996,HOU,Hakeem Olajuwon,34,78,78,36.599998,0.50999999,9.1999998,3,1.5,2.2,3.5999999,23.200001,9.1000004,9.655
1997,SAC,Mitch Richmond,32,70,70,36.700001,0.44499999,3.3,4,1.3,0.2,2.5999999,23.200001,7.9000001,3
1995,PHX,Charles Barkley,32,71,71,37.099998,0.5,11.6,3.7,1.6,0.80000001,3.0999999,23.200001,10.5,4.76
1995,MIA,Alonzo Mourning,25,70,70,38.200001,0.523,10.4,2.3,1,2.7,3.7,23.200001,9.8999996,4.56
2005,GSW,Jason Richardson,25,75,75,38.400002,0.44600001,5.8000002,3.0999999,1.3,0.5,2.2,23.200001,7.3000002,8.888888
1999,SAS,Tim Duncan,23,74,74,38.900002,0.49000001,12.4,3.2,0.89999998,2.2,3.3,23.200001,13,3.85824
2009,PHX,Amar'e Stoudemire,27,82,82,34.599998,0.55699998,8.8999996,1,0.60000002,1,2.5999999,23.1,10.7,16.378325
2015,IND,Paul George,25,81,81,34.799999,0.41800001,7,4.0999999,1.9,0.40000001,3.3,23.1,9.1999998,17.120106
1995,SAC,Mitch Richmond,30,81,81,36.400002,0.447,3.3,3.0999999,1.5,0.2,2.7,23.1,10.8,3.5
2008,MIN,Al Jefferson,24,50,50,36.700001,0.49700001,11,1.6,0.80000001,1.7,1.8,23.1,4.9000001,11
2000,OKC,Gary Payton,32,79,79,41.099998,0.456,4.5999999,8.1000004,1.6,0.30000001,2.5999999,23.1,10.8,12.2
2010,DAL,Dirk Nowitzki,32,73,73,34.299999,0.51700002,7,2.5999999,0.5,0.60000002,1.9,23,11.1,17.278618
2004,MIL,Michael Redd,25,75,75,38,0.44100001,4.1999998,2.3,0.80000001,0.1,1.8,23,6.1999998,3
2003,OKC,Ray Allen,28,56,56,38.400002,0.44,5.0999999,4.8000002,1.3,0.2,2.8,23,6.9000001,13.5
2003,BOS,Paul Pierce,26,80,80,38.700001,0.40200001,6.5,5.0999999,1.6,0.69999999,3.8,23,7.0999999,11.326219
2002,SAC,Chris Webber,29,67,67,39.099998,0.461,10.5,5.4000001,1.6,1.3,3.2,23,6.9000001,14.34375
2002,MIN,Kevin Garnett,26,82,82,40.5,0.50199997,13.4,6,1.4,1.6,2.8,23,15.6,25.2
2004,MIA,Shaquille O'Neal,32,73,73,34.099998,0.60100001,10.4,2.7,0.5,2.3,2.8,22.9,11,27.69643
2001,WAS,Michael Jordan,38,60,53,34.900002,0.41600001,5.6999998,5.1999998,1.4,0.40000001,2.7,22.9,3.3,1
2010,ORL,Dwight Howard,25,78,78,37.599998,0.59299999,14.1,1.4,1.4,2.4000001,3.5999999,22.9,14.4,16.64718
2012,GSW,Stephen Curry,24,78,78,38.200001,0.45100001,4,6.9000001,1.6,0.2,3.0999999,22.9,11.2,3.958742
1999,MIN,Kevin Garnett,23,81,81,40,0.49700001,11.8,5,1.5,1.6,3.3,22.9,11.6,16.8063
2003,NOP,Baron Davis,24,67,66,40.099998,0.39500001,4.3000002,7.5,2.4000001,0.40000001,3.2,22.9,7.5,10.96
2008,DEN,Carmelo Anthony,24,66,66,34.5,0.44299999,6.8000002,3.4000001,1.1,0.40000001,3,22.799999,5,14.410581
2008,NOP,Chris Paul,23,78,78,38.5,0.50300002,5.5,11,2.8,0.1,3,22.799999,18.299999,4.574189
2013,SAC,DeMarcus Cousins,23,71,71,32.400002,0.49599999,11.7,2.9000001,1.5,1.3,3.5,22.700001,7.9000001,4.916974
2007,MIL,Michael Redd,28,72,71,37.5,0.442,4.3000002,3.4000001,0.89999998,0.2,2.5,22.700001,5.8000002,14.52
2008,TOR,Chris Bosh,24,77,77,38,0.48699999,10,2.5,0.89999998,1,2.3,22.700001,9.6999998,14.410581
2013,TOR,DeMar DeRozan,24,79,79,38.200001,0.42899999,4.3000002,4,1.1,0.40000001,2.2,22.700001,8.8000002,9.5
