pid,gender,year,age,school,marriage,income,job,relig,pet,cell,cellnum,featurephone,smartphone,kidsphone,smart_or_not,tablet,tabletnum,wearable,wearablenum,phonebill,payapp,inapp_pay,theater,theaterpay,play,playpay,OTT,OTT_phone,OTT_tablet,OTT_PC,OTT_others,OTT_freq,OTT_hour,OTT_min,Newspaper,email,messanger,blog,cloud,SNS
630002,2,1980,39,4,2,1,2,2,1,1,1,0,1,0,3,2, ,2, ,68,2,2,5,50,0, ,2, , , , , , , ,1,1,1,2,2,2
640001,2,1963,56,4,2,5,1,1,1,1,1,0,1,0,3,2, ,2, ,50,2,2,2,25,0, ,2, , , , , , , ,1,1,1,2,2,1
650002,2,1940,79,2,2,1,2,1,2,1,1,1,0,0, ,2, ,2, ,25, , ,0, ,0, ,2, , , , , , , ,2,2,2,2,2,2
660001,1,1962,57,4,2,10,1,2,2,1,1,0,1,0,2,2, ,2, ,38,2,2,3,21,0, ,2, , , , , , , ,1,1,1,1,1,1
660002,2,1965,54,5,2,8,1,2,2,1,1,0,1,0,3,2, ,2, ,32,2,1,4,52,2,40,2, , , , , , , ,1,1,1,1,1,1
660004,1,1993,26,5,1,6,1,2,2,1,1,0,1,0,2,2, ,2, ,38,2,2,4,56,2,40,2, , , , , , , ,1,1,1,1,1,1
670001,1,1966,53,5,2,10,1,2,1,1,1,0,1,0,3,1,1,2, ,58,1,2,3,24,2,40,1,1,2,2,2,5,0,40,1,1,1,2,1,1
670002,2,1968,51,5,2,1,2,1,1,1,1,0,1,0,3,2, ,2, ,48,2,2,6,48,5,180,1,1,2,2,2,5,1,0,1,1,1,2,1,1
680002,2,1937,82,4,2,1,2,1,1,1,1,0,1,0,3,2, ,2, ,32,2,2,1,10,0, ,2, , , , , , , ,2,2,1,2,2,2
690001,1,1966,53,6,2,11,1,2,2,1,1,0,1,0,2,2, ,2, ,55,2,2,2,20,1,140,1,1,2,2,2,1,0,30,1,1,1,2,1,1
690002,2,1969,50,5,2,6,1,2,2,1,1,0,1,0,2,2, ,2, ,55,2,2,5,50,2,250,1,1,2,2,2,1,0,30,1,1,1,1,1,1
700001,1,1959,60,5,2,11,1,2,1,1,1,0,1,0,3,2, ,2, ,52,2,2,2,24,0, ,2, , , , , , , ,2,1,1,1,1,1
700002,2,1966,53,4,2,6,1,2,1,1,1,0,1,0,3,2, ,2, ,41,2,2,3,21,0, ,2, , , , , , , ,1,1,1,2,1,1
710001,1,1967,52,5,2,10,1,2,2,1,1,0,1,0,3,2, ,2, ,35,2,2,3,30,0, ,1,1,2,1,2,1,0,10,1,1,1,2,1,1
710002,2,1971,48,4,2,1,2,1,2,1,1,0,1,0,3,2, ,2, ,35,2,2,3,30,1,60,1,1,2,2,2,1,0,20,1,1,1,2,2,1
720002,2,1983,36,5,2,8,2,2,2,1,1,0,1,0,2,2, ,2, ,35,2,2,3,30,0, ,1,1,2,2,2,1,1,0,1,1,1,2,2,2
720007,1,2008,11,2,1,1,2,2,2,1,1,1,0,0, ,2, ,2, ,22,2,2,5,50,0, ,1,2,2,1,2,6,0,30,1,1,1,2,2,2
